title,url
Cognitive Cocktail,https://www.youtube.com/watch?v=OfGuPDfgO6g&t=20s
Kushal Lodha - 1,https://youtu.be/qCf_w1XKDms?si=QJKGeyvXINxWC8vl
Thinkly,https://youtu.be/xTkfRx8w8hw?si=ufeiERxylsAl8jPi
Investing with upsurge - 1,https://youtu.be/a-NURn-wT04?si=C9DCMGaHCwFxFXVv
CA Priti Agarwal,https://youtu.be/-E1M0rYHLjo?si=Rvh0yxMkI1G7thGD
BITV,https://youtu.be/H8M0rMvLGiQ?si=h2isAc-r8XVfGs3h
IND money,https://youtu.be/YgDOQVJQd90?si=Kc-rkNzIjb1WdKE5
Investing with Dhan,https://www.youtube.com/watch?v=5cfcKkWC-M4&t=320s
Investing with upsurge - 2,https://youtu.be/IkP-pHwx5rU?si=YzsgZGcO9qS9JpaE
Kushal Lodha - 2,https://youtu.be/qqipukZ25GA?si=bkk7mS0gaT21Ssr8
Mahatmaji Technical,https://youtu.be/-bliAPPwhgo?si=z1JLHzftV6BT134a
Dostcast - 1,https://youtu.be/W2eBRPB7ql4?si=M25jXkM1heyUCYjA
Per annum money,https://youtu.be/Pjaf1Mu6H7M?si=4PU1lvaBmL4wPD-u
Personal Finance TV,https://youtu.be/1IopPA-4My0?si=vi0hHcbhSJqvYAo8
Kushal Lodha - 3,https://youtu.be/OXo6n3TyeFw?si=wcUHCeDRzt514vCI
Groww - 1,https://youtu.be/qd5P5hDTZBw?si=ATypsCwG1RDTp7tD
Deven U Pandey - 1,https://youtu.be/SrAJrF7j-HY?si=yg5amIQadDxVQCaM
Growth Cast by shashank - 1,https://youtu.be/vF7oA2MsU8k?si=OS7hRUFdyocgpLp1
Money9 -1,https://youtu.be/ZYZaA_5S3qo?si=MKPwR6LVx6sjELmf
Vijay Thakkar,https://youtu.be/QS_mejlQVEk?si=lHMZxntvIiUmbCAl
Tedx Talks,https://youtu.be/bDERVAJ-6dc?si=fzdgCVOVgdj-9yRQ
Sourabh Sisodiya,https://youtu.be/ycuuupHhAYg?si=uxqR4gz6r0a0HUbH
Divya Jain - 1,https://youtu.be/1xm2c3DfWtk?si=VOr2GVKsGb0fQvNg
Hemant Pant,https://youtu.be/-WANGoNCoMY?si=Xvvb_hdTv0z7ufVK
Dostcast - 2,https://youtu.be/gNCU7tGR0v8?si=7V3qqhqkatN75PX_
